Keyword Stats 2025-07-29 at 13_55_51
"July 1, 2024 - June 30, 2025"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jul 2024	Searches: Aug 2024	Searches: Sep 2024	Searches: Oct 2024	Searches: Nov 2024	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025
consórcios embracon	BRL	500	0%	0%	Medium	58	1.98	14.02																	
consorcio embracon simulador	BRL	50	0%	0%	High	89	3.68	30.89																	
consorcio casa porto seguro	BRL	50	∞	∞	High	86																			
comprar carta de credito contemplada imovel	BRL	50	0%	0%	Unknown																				
consórciocasa	BRL	0	0%	0%	Unknown																				
consórcio de casas itaú	BRL	50	0%	0%	Unknown																				
consórcio da casa própria	BRL	50	0%	0%	Medium	43																			
carta de crédito contemplada imóvel olx	BRL	50	∞	∞	Medium	43																			
consórcio reforma de imóvel	BRL	50	0%	0%	High	100																			
consorcio casas como funciona	BRL	50	-100%	-100%	Unknown																				
carta contemplada consorcio imovel	BRL	50	∞	∞	High	86																			
simulador consorcio imobiliario porto seguro	BRL	50	0%	∞	High	100																			
consórcio de apartamento caixa	BRL	50	0%	-100%	Unknown																				
consórcio terreno simulação	BRL	50	0%	-100%	Unknown																				
consórcio de imoveis porto seguro	BRL	50	-100%	0%	Unknown																				
consórcio de casas caixa	BRL	50	0%	0%	Medium	57																			
valor de consorcio de imoveis	BRL	50	∞	∞	High	100																			
consorcio casamento	BRL	50	0%	0%	High	81	2.13	12.01																	
melhores consorcios de imoveis	BRL	50	∞	0%	High	100																			
consorcio de casas pela caixa economica	BRL	50	-100%	0%	Unknown																				
consórcio de terreno	BRL	50	0%	-100%	Unknown																				
consórcio para apartamento	BRL	50	0%	0%	High	86	2.98	15.65																	
consorcio de imoveis 1 milhão	BRL	50	0%	0%	Unknown																				
consorcio imobiliario 700 mil	BRL	50	-100%	0%	Unknown																				
consorcio imobiliario 500 mil	BRL	50	0%	∞	High	90	7.55	13.85																	
consorcio imovel itau	BRL	50	0%	0%	Medium	60	2.36	10.13																	
consorcio para construir imovel	BRL	50	0%	0%	Unknown																				
consorcio imovel rural	BRL	50	∞	∞	High	86																			
consorcio de moveis planejados	BRL	50	∞	0%	High	71																			
consórcio para compra de imóvel	BRL	50	-100%	-100%	Unknown																				
consorcio bradesco imovel	BRL	50	-100%	-100%	Unknown																				
mycon financiamento imovel	BRL	0	0%	0%	Unknown																				
embracon é confiável	BRL	50	0%	0%	Medium	42	1.69	8.91																	
melhores consorcios para imoveis	BRL	50	0%	-100%	Unknown																				
consórcio de imóvel vale a pena	BRL	50	0%	0%	High	89	2.07	6.76																	
consorcio imovel 250 mil	BRL	50	0%	0%	Unknown																				
consorcio imobiliario 300 mil	BRL	50	0%	0%	Unknown																				
consórcio casas itau	BRL	50	∞	0%	High	71																			
porto seguro imóveis consórcio	BRL	50	-100%	0%	Unknown																				
consorcio embracon carros	BRL	50	0%	0%	Unknown																				
consorcio imovel 600 mil	BRL	50	-100%	0%	Unknown																				
carta de consórcio imobiliário	BRL	50	∞	∞	High	86																			
consórcio de apartamento como funciona	BRL	50	0%	0%	High	86																			
consorcio imobiliario embracon	BRL	50	0%	-100%	Unknown																				
consórcio imobiliário contemplado	BRL	50	0%	0%	Unknown																				
consórcio construção imóvel	BRL	50	0%	0%	Unknown																				
consorcio imovel rodobens	BRL	50	0%	-100%	Unknown																				
consórcio para reforma de imóvel caixa	BRL	50	-100%	-100%	Unknown																				
consorcio casa caixa	BRL	50	0%	0%	Medium	57	1.03	7.30																	
consorcio para casamento	BRL	50	0%	0%	High	81	2.13	12.01																	
consorcio embracon valores	BRL	50	0%	-100%	Unknown																				
apartamento consorcio	BRL	50	0%	0%	Low	0																			
valor consorcio imovel	BRL	50	0%	0%	Unknown																				
consorcio para comprar casa	BRL	50	0%	0%	Unknown																				
consórcio apartamento caixa	BRL	50	-100%	-100%	Unknown																				
carta de crédito porto seguro imóvel	BRL	50	0%	0%	Unknown																				
consorcio residencial caixa	BRL	50	0%	-100%	Unknown																				
consorcio de imovel 200 mil	BRL	50	∞	∞	High	86																			
consorcio para reformar imovel	BRL	50	∞	∞	High	86																			
consórcio de casas bradesco	BRL	50	0%	∞	High	86																			
consórcio para comprar terreno	BRL	50	0%	-100%	Unknown																				
consorcio para imovel vale a pena	BRL	50	-100%	0%	Unknown																				
consorcio imovel bradesco	BRL	50	-100%	-100%	Unknown																				
consorcio construcao imoveis	BRL	50	0%	0%	Unknown																				
vale a pena fazer consorcio de imovel	BRL	50	0%	0%	Medium	64																			
consorcio imovel qual o melhor	BRL	50	∞	∞	High	86																			
consórcio de casa própria	BRL	50	-100%	0%	Unknown																				
consorcio imovel 150 mil	BRL	50	-100%	0%	Unknown																				
consorcio imobiliario 400 mil	BRL	50	0%	0%	Unknown																				
cartas de credito contempladas imoveis	BRL	50	0%	0%	Unknown																				
consorcio casas santander	BRL	50	0%	0%	Unknown																				
carta de credito de imovel	BRL	50	∞	∞	High	93																			
consorcio credito imobiliario	BRL	50	0%	0%	Unknown																				
consórcio para comprar casa	BRL	50	0%	∞	High	88	2.05	12.54																	
consórcio embracon é confiável	BRL	50	0%	0%	Medium	48	1.69	14.79																	
consórcio contemplado imóvel particular	BRL	0	0%	0%	Unknown																				
consorcio sicoob imoveis	BRL	50	0%	0%	High	88	1.32	15.68																	
vale a pena consorcio de imovel	BRL	50	0%	0%	High	76	1.93	8.55																	
consorcio compra de imovel	BRL	50	-100%	0%	Unknown																				
consórcio casas caixa	BRL	50	0%	0%	Medium	57	1.03	7.30																	
consorcio de reforma de imóvel	BRL	0	0%	0%	Unknown																				
consorcio de imoveis compensa	BRL	50	0%	0%	High	79																			
consorcio melhor	BRL	50	0%	0%	High	92	5.19	17.37																	
consorcio de imovel 300 mil	BRL	50	0%	0%	Unknown																				
consorcios casa	BRL	50	0%	0%	High	84	4.27	14.93																	
casa consórcio	BRL	50	0%	0%	Unknown																				
o melhor consorcio de imoveis	BRL	0	0%	-100%	Unknown																				
consorcio de casa propria	BRL	50	0%	0%	Unknown																				
consórcio imóvel rural caixa	BRL	50	∞	0%	High	100																			
consorcio para comprar apartamento	BRL	50	∞	∞	Medium	43																			
consorcio de casas vale a pena	BRL	50	0%	0%	High	82	1.76	9.04																	
consorcio imovel embracon	BRL	50	-100%	-100%	Unknown																				
consorcio de casa porto seguro	BRL	50	-100%	0%	Unknown																				
carta de credito consorcio imobiliario	BRL	50	-100%	-100%	Unknown																				
consorcio de imovel simulação	BRL	50	0%	0%	High	86																			
consorcio de imoveis embracon	BRL	50	-100%	-100%	Unknown																				
simulação consórcio imóvel	BRL	50	0%	0%	High	96	6.19	17.99																	
consorcio itau casa	BRL	50	0%	0%	Unknown																				
consórcio embracon carros	BRL	50	0%	0%	Unknown																				
consorcio de casa como funciona	BRL	50	∞	∞	High	86																			
consorcio para imovel rural	BRL	0	0%	0%	Unknown																				
consorcio de imovel santander	BRL	50	-100%	-100%	Unknown																				
consorcio imovel 100 mil	BRL	50	-100%	0%	Unknown																				
carta credito contemplada imovel	BRL	50	0%	0%	Unknown																				
consorcio porto imovel	BRL	50	0%	0%	High	71																			
consorcio de 500 mil	BRL	50	-100%	-100%	Unknown																				
consorcio imoveis como funciona	BRL	50	0%	0%	Unknown																				
consórcio de imovel vale a pena	BRL	50	∞	∞	High	90	1.57	6.18																	
cotas contempladas imoveis	BRL	50	0%	-100%	Unknown																				
consórcio ou financiamento imóvel	BRL	50	0%	0%	High	86																			
cartas de consorcio contempladas imoveis	BRL	0	0%	0%	Unknown																				
consorcio porto seguro casa	BRL	50	0%	0%	Unknown																				
consorcio imobiliario 200 mil	BRL	50	∞	∞	High	86																			
consorcio contemplado de imovel	BRL	50	-100%	0%	Unknown																				
consorcio residencial simulação	BRL	0	0%	0%	Unknown																				
consorcio spin	BRL	50	0%	0%	Unknown																				
itaú consórcio imobiliário	BRL	50	0%	0%	High	68	2.07	15.76																	
consorcio de imovel como funciona	BRL	50	0%	∞	High	86																			
simular consorcio de imovel	BRL	50	∞	0%	High	100																			
consórcio imóvel rural simulação	BRL	0	0%	-100%	Unknown																				
consórcio apartamento como funciona	BRL	50	0%	0%	Low	0																			
caixa consorcio imovel	BRL	50	0%	0%	High	93	1.01	9.51																	
carta de imovel contemplada	BRL	50	0%	∞	High	100																			
consorcio para aquisição de imovel rural	BRL	50	0%	0%	Unknown																				
melhor consorcio de casa	BRL	50	0%	∞	High	100																			
porto seguro consorcio casa	BRL	50	0%	0%	Unknown																				
consórcio para casamento	BRL	50	0%	0%	High	81	2.13	12.01																	
casa consorcio	BRL	50	0%	-100%	Unknown																				
embracon imoveis	BRL	50	0%	0%	Unknown																				
consórcio imóvel sicoob simulação	BRL	50	0%	-100%	Unknown																				
simular consorcio casa	BRL	50	0%	∞	High	86																			
consorcio para terreno	BRL	50	-100%	-100%	Unknown																				
simular um consorcio de imovel	BRL	50	0%	0%	High	86																			
consorcio casas caixa economica federal	BRL	50	0%	0%	Unknown																				
consórcio imóvel vale a pena	BRL	50	∞	∞	High	100																			
imovel consorcio	BRL	50	∞	∞	High	93																			
porto seguro consórcio de imóveis	BRL	50	0%	0%	High	76	3.60	10.15																	
compra de carta de crédito contemplada imóvel	BRL	50	0%	0%	Unknown																				
consorcio imobiliario construção	BRL	0	0%	0%	Unknown																				
consorcio imovel magalu	BRL	0	0%	0%	Unknown																				
consorcio imovel porto	BRL	50	0%	0%	High	71																			
consorcio imovel simulador	BRL	50	0%	-100%	Unknown																				
consórcio habitacional caixa	BRL	50	0%	0%	High	90	0.66	4.60																	
simulação consorcio de imoveis	BRL	50	0%	0%	High	86																			
consórcio imóvel contemplado	BRL	50	0%	-100%	Unknown																				
consorcio imovel 350 mil	BRL	50	0%	0%	Unknown																				
consorcio de imovel bradesco	BRL	50	0%	0%	High	95	0.66	0.95																	
consórcio renault embracon	BRL	50	0%	0%	Low	14																			
carta de crédito 200 mil	BRL	50	0%	0%	High	71	2.14	12.57																	
santander consorcio imovel	BRL	50	0%	0%	Low	29																			
embracon reclame aqui	BRL	50	0%	0%	Low	4																			
consorcio para compra de casa	BRL	50	0%	0%	Unknown																				
consorcio de casamento	BRL	50	0%	∞	High	86																			
consorcio para aquisição de imovel	BRL	50	∞	∞	High	100																			
embracon campo grande	BRL	50	-100%	-100%	Unknown																				
consórcio para casa própria	BRL	50	0%	0%	Medium	43																			
consórcio imóvel santander	BRL	50	-100%	-100%	Unknown																				
carta contemplada imóvel porto seguro	BRL	0	0%	0%	Unknown																				
embracon whatsapp	BRL	50	0%	0%	Medium	53	1.49	5.23																	
porto seguro consorcio imoveis simulação	BRL	0	0%	0%	Unknown																				
consórcio imobiliário embracon	BRL	50	0%	0%	Unknown																				
consorcio moradia	BRL	50	-100%	0%	Unknown																				
consorcio de imoveis valores	BRL	0	0%	-100%	Unknown																				
consorcio para casa propria	BRL	50	0%	0%	Unknown																				
embracon consorcio simulação	BRL	50	0%	0%	High	100																			
consorcio residencial porto seguro	BRL	50	0%	-100%	Unknown																				
carta de credito de imovel contemplada	BRL	50	0%	0%	Unknown																				
consorcio porto imoveis	BRL	0	0%	0%	Unknown																				
embracon consórcio é confiável	BRL	50	0%	0%	Medium	48	1.69	14.79																	
consórcios de casas	BRL	50	0%	0%	High	89	3.27	12.69																	
consórcio para terreno	BRL	50	0%	0%	High	93	2.05	10.39																	
consórcio de imóveis da caixa econômica federal	BRL	50	0%	∞	Medium	64																			
simulador de consorcio embracon	BRL	50	∞	0%	High	100																			
mycon casa	BRL	0	0%	0%	Unknown																				
tipos de consórcio imobiliário	BRL	50	-100%	0%	Unknown																				
consorcio para terreno e construção	BRL	50	0%	∞	High	100																			
consórcio de casa porto seguro	BRL	50	-100%	0%	Unknown																				
consórcio de casa como funciona	BRL	50	0%	0%	High	88	1.31	5.07																	
consorcio imobiliario para construção	BRL	0	0%	0%	Unknown																				
consorcio da porto seguro imoveis	BRL	50	0%	0%	High	81	2.78	8.57																	
consórcio ecosport	BRL	50	0%	0%	Unknown																				
consórcio de casa santander	BRL	50	0%	-100%	Unknown																				
telefone do consórcio embracon	BRL	50	0%	0%	Medium	34	0.49	3.35																	
consórcio de terreno caixa	BRL	50	-100%	0%	Unknown																				
simulação hs consorcios	BRL	50	0%	0%	Unknown																				
carta de crédito para casa	BRL	50	-100%	-100%	Unknown																				
consórcio casa porto seguro	BRL	50	0%	0%	Unknown																				
consorcio para compra de terreno	BRL	50	0%	0%	High	100	1.97	8.76																	
embracon porto alegre	BRL	50	-100%	0%	Unknown																				
consorcio para chacara	BRL	50	0%	0%	Unknown																				
consórcio para reforma de imóvel itaú	BRL	0	0%	0%	Unknown																				
embracon consorcio é bom	BRL	50	0%	0%	High	69	1.44	13.07																	
consórcio para comprar terreno e construir	BRL	50	0%	0%	Unknown																				
consorcio para reforma de casa	BRL	50	0%	0%	High	96	2.00	6.19																	
consorcio de apartamentos	BRL	50	0%	0%	High	86	7.50	15.16																	
porto seguro carta de credito imovel	BRL	50	0%	-100%	Unknown																				
carta de crédito itaú imóveis	BRL	50	0%	0%	Unknown																				
consorcio imovel porto seguro vale a pena	BRL	50	0%	0%	Unknown																				
consorcio caixa casa	BRL	50	0%	0%	Unknown																				
consorcio carta de credito imovel	BRL	50	∞	∞	High	71																			
embracon credito imobiliario	BRL	50	0%	-100%	Unknown																				
embracon montes claros	BRL	50	0%	0%	Unknown																				
consórcio de imóvel santander	BRL	50	0%	∞	High	71																			
consorcio para compra de imovel	BRL	50	∞	∞	High	93																			
consórcio terreno rural	BRL	50	-100%	-100%	Unknown																				
consórcio de imóveis caixa econômica federal	BRL	50	0%	∞	Medium	64																			
consórcio para reforma de imóvel como funciona	BRL	50	0%	∞	High	86																			
carta de crédito para comprar imóvel	BRL	50	0%	0%	Unknown																				
carta de credito imovel porto seguro	BRL	50	0%	-100%	Unknown																				
consorcio de imoveis sicredi	BRL	50	0%	-100%	Unknown																				
consórcio contemplado imóvel caixa	BRL	0	0%	0%	Unknown																				
existe consorcio de imoveis	BRL	50	∞	∞	High	100																			
consorcio casa simulação	BRL	50	0%	∞	High	86																			
consórcio imobiliário da caixa	BRL	50	0%	0%	Low	0																			
consórcio embracon reclame aqui	BRL	50	0%	0%	Low	2																			
carta de credito imovel como funciona	BRL	50	∞	0%	High	100																			
consorcio imobiliario como funciona	BRL	50	0%	0%	High	80	2.08	4.64																	
imoveis consorcio	BRL	50	0%	0%	High	85	6.89	19.90																	
consorcio para comprar imovel	BRL	50	-100%	0%	Unknown																				
carta credito imovel contemplada	BRL	50	0%	0%	Unknown																				
carta contemplada embracon	BRL	50	-100%	0%	Unknown																				
consorcio de casas da caixa economica federal	BRL	0	0%	0%	Unknown																				
consórcio de casa vale a pena	BRL	50	0%	0%	High	93																			
consorcio de imoveis na praia	BRL		 --	 --	Unknown																				
comprar carta de consórcio imóvel contemplada	BRL	50	0%	-100%	Unknown																				
empresa embracon	BRL	50	0%	0%	Medium	38																			
telefone embracon	BRL	50	0%	0%	Low	25	0.49	2.83																	
embracon consórcio de imóveis	BRL	50	-100%	0%	Unknown																				
rodobens consorcio imovel	BRL	50	0%	0%	Unknown																				
credito imobiliario embracon	BRL	50	-100%	0%	Unknown																				
consórcio para construção de casa	BRL	50	0%	∞	High	86																			
consorcio imobiliario 800 mil	BRL	50	0%	0%	Unknown																				
simulador de consorcio imovel	BRL	50	0%	0%	Unknown																				
consórcio para reforma de casa	BRL	50	0%	0%	High	96	2.00	6.19																	
consórcio da casa	BRL	50	0%	0%	High	84	4.27	14.93																	
consorcio para compra de terreno e construção	BRL	50	0%	-100%	Unknown																				
consorcio imobiliario 250 mil	BRL	0	0%	-100%	Unknown																				
crédito imobiliário porto seguro	BRL	50	0%	0%	High	93																			
consórcio apartamento valor	BRL	50	-100%	0%	Unknown																				
consorcio de imovel rodobens	BRL	50	0%	-100%	Unknown																				
consórcio de imóvel itaú	BRL	50	0%	0%	High	86																			
consórcio ou financiamento imóvel 2022	BRL	0	0%	0%	Unknown																				
carta consorcio imovel contemplada	BRL	50	0%	0%	Unknown																				
consorcio apartamento porto seguro	BRL	50	∞	∞	Medium	57																			
santander consórcio imobiliário	BRL	0	0%	0%	Unknown																				
consorcio carta contemplada imovel	BRL	50	0%	0%	Unknown																				
consórcio embracon telefone	BRL	50	0%	0%	Medium	34	0.49	3.35																	
consórcio para compra de imóvel rural	BRL	0	0%	-100%	Unknown																				
consorcio sicredi imovel	BRL	50	-100%	0%	Unknown																				
consorcio casas caixa economica	BRL	50	-100%	0%	Unknown																				
consorcio casa nova	BRL	50	0%	0%	Unknown																				
consorcio caixa economica imoveis	BRL	50	-100%	0%	Unknown																				
simulação consorcio casa	BRL	50	0%	∞	High	86																			
consórcio imobiliário 240 meses	BRL	0	0%	0%	Unknown																				
consorcio para casas bradesco	BRL	50	-100%	0%	Unknown																				
consorcio imobiliario ou financiamento	BRL	50	-100%	-100%	Unknown																				
consorcio de casa caixa	BRL	50	-100%	-100%	Unknown																				
embracon campina grande	BRL	0	0%	0%	Unknown																				
comprar imovel com consorcio	BRL	50	0%	0%	Unknown																				
carta de credito contemplada imovel porto seguro	BRL	50	∞	∞	High	100																			
consórcio de imóvel como funciona	BRL	50	0%	0%	High	77	1.06	4.85																	
carta de crédito contemplada para imóvel	BRL	0	0%	0%	Unknown																				
consórcio contemplado de imóveis	BRL	50	0%	0%	High	80	3.40	9.73																	
consorcio residencial como funciona	BRL	0	0%	0%	Unknown																				
consórcio imobiliário caixa econômica federal	BRL	50	0%	0%	High	100																			
compensa consorcio de imoveis	BRL	0	0%	0%	Unknown																				
consórcio para reforma de imóvel bradesco	BRL	50	0%	0%	Unknown																				
compensa fazer consórcio de imóvel	BRL	50	0%	0%	Unknown																				
consórcio de casa pela caixa	BRL	50	0%	0%	Medium	57																			
embracon ponta grossa	BRL	50	0%	0%	Unknown																				
carta contemplada imóvel itaú	BRL	50	0%	0%	Unknown																				
consorcio embracon carros usados	BRL	0	0%	0%	Unknown																				
consorcio de casa santander	BRL	50	0%	-100%	Unknown																				
carta de credito para imovel como funciona	BRL	50	∞	∞	High	100																			
consorcio imovel mais barato	BRL	0	0%	0%	Unknown																				
consorcio vale a pena imovel	BRL	0	0%	0%	Unknown																				
site embracon	BRL	50	0%	0%	Low	29	0.49	1.49																	
consorcio imovel sicredi	BRL	50	-100%	0%	Unknown																				
embracon santo andre	BRL	50	0%	0%	Unknown																				
consorcio 100 reais	BRL	0	0%	0%	Unknown																				
embracon clientes	BRL	50	0%	0%	Low	10	0.50	0.51																	
